block_size,tokens_per_step,problem_idx,tier,n_tokens,stop,repeat4,boxed,correct,progress,redundancy,coverage
32,8,3,easy,768,budget,0.750373692077728,0,0,-0.8451542547285166,0.042565373885682566,0.38435909061953594
32,8,4,easy,288,collapse,0.9032258064516129,0,0,-0.16903085094570333,0.9650831757742004,0.25372788276458536
32,8,5,easy,640,eos,0.0945454545454546,0,0,0.14285714285714288,0.24596086301468556,0.2327717075923483
32,8,6,easy,768,budget,0.6603773584905661,0,0,-0.8451542547285166,0.05069528909804564,0.4921096180938568
32,8,7,easy,768,budget,0.0,0,0,-0.4285714285714286,0.10725292754521053,0.4188675379103591
32,8,8,easy,768,budget,0.0,0,0,-0.6571428571428573,0.07661846101238771,0.24844684077593088
32,8,9,easy,128,eos,0.0,0,0,-0.7142857142857143,0.08650961272194556,0.23228138996374584
32,8,10,easy,288,collapse,0.9049295774647887,0,0,-0.16903085094570333,0.9764459014795699,0.05100560405856636
32,8,11,easy,288,collapse,0.9115384615384615,0,0,-0.6546536707079772,0.0,0.17633744185839764
32,8,12,easy,768,budget,0.21052631578947367,0,0,-0.5428571428571429,0.29472505718116043,0.3198753857518909
32,8,13,easy,768,budget,0.01754385964912286,0,0,-0.6571428571428573,0.06456544500126785,0.20764091000529056
32,8,14,easy,480,collapse,0.9065817409766455,0,0,-0.6546536707079772,0.9623137792183208,0.10294798397977678
32,8,15,easy,96,eos,0.03389830508474578,0,0,-0.14285714285714288,0.2240266109519176,0.43307210926113004
32,8,16,easy,160,box,0.0,1,0,-0.028571428571428574,0.06474332040827982,0.4003699067198871
32,8,17,easy,768,budget,0.012820512820512775,0,0,-0.3714285714285715,0.16126936351968796,0.5210174210601582
32,8,18,easy,768,budget,0.8606896551724138,0,0,-0.6546536707079772,0.0,0.4407968358889399
32,8,19,easy,768,budget,0.8972222222222223,0,0,-0.6546536707079772,0.0,0.48098986779152253
32,8,20,medium,768,budget,0.0,0,0,-0.5428571428571429,0.048567312565759364,0.25615282833363057
32,8,21,medium,768,budget,0.8941798941798942,0,0,-0.6546536707079772,0.0,0.47017344186514104
32,8,22,medium,768,budget,0.0,0,0,0.08571428571428573,0.013583918426626587,0.2965522195187566
32,8,23,medium,544,collapse,0.9043151969981238,0,0,-0.6546536707079772,0.0,0.36318001885025003
32,8,24,medium,128,eos,0.0,0,0,-0.08571428571428573,0.10351552146236549,0.23983577745073886
